Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Promo_Intensity,Customer_Footfall,Stockout_Rate,Competitor_Count,Store_Type,Region,Holiday_Score,Date_2024
1,2024-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,0.37,3939,0.09,4,A,East,4,2024-02-05
1,2024-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,0.95,2132,0.17,10,C,South,8,2024-02-12
1,2024-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,0.73,4838,0.2,7,B,South,0,2024-02-19
1,2024-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,0.6,5385,0.17,10,B,West,4,2024-02-26
1,2024-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,0.16,5770,0.38,0,A,West,3,2024-03-05
1,2024-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,0.16,4268,0.05,0,A,North,5,2024-03-12
1,2024-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,0.06,2975,0.18,2,B,South,0,2024-03-19
1,2024-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,0.87,3813,0.42,2,A,East,0,2024-03-26
1,2024-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,0.6,5263,0.03,6,A,West,0,2024-04-02
1,2024-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,0.71,3543,0.47,5,A,West,2,2024-04-09
1,2024-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,0.02,4835,0.49,6,A,West,1,2024-04-16
1,2024-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,0.97,4738,0.04,3,B,West,0,2024-04-23
1,2024-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,0.83,3357,0.15,10,B,South,1,2024-04-30
1,2024-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,0.21,6134,0.19,1,A,West,0,2024-05-07
1,2024-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,0.18,3316,0.39,1,B,South,2,2024-05-14
1,2024-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,0.18,2161,0.3,9,C,North,5,2024-05-21
1,2024-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,0.3,3909,0.32,0,C,North,0,2024-05-28
1,2024-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,0.52,3127,0.38,8,B,East,4,2024-06-04
1,2024-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,0.43,5870,0.06,6,B,West,3,2024-06-11
1,2024-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,0.29,3658,0.42,9,A,East,0,2024-06-18
1,2024-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,0.61,5125,0.35,2,B,South,3,2024-06-25
1,2024-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,0.14,3963,0.29,1,B,East,3,2024-07-02
1,2024-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,0.29,7153,0.44,2,B,East,2,2024-07-09
1,2024-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,0.37,4289,0.35,6,B,West,5,2024-07-16
1,2024-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,0.46,2966,0.1,4,B,South,3,2024-07-23
1,2024-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,0.79,2889,0.21,2,C,South,2,2024-07-30
